,source,target,value
501,Genin,Neji,8
502,Genno,Leaf,8
503,Neji,Ninja,8
504,Akahoshi,Hotarubi,8
505,Lee,Ninja,8
506,Gato,Tazuna,8
507,Futa,Naruto,8
508,Hitsuji,Saru,8
509,Inu,Ne,8
510,Jiraiya,Toad,8
511,Hitsuji,Ne,8
512,Guy,Karashi,8
513,Kurenai,Murakumo,8
514,Mizura,Naruto,8
515,Byakugan,Shikamaru,8
516,Inu,Saru,8
517,Inari,Naruto,8
518,Kurenai,Orochimaru,8
519,Mizuki,Shikamaru,8
520,Guy,Tenten,8
521,Hoki,Sagi,8
522,Saru,Tatsu,8
523,Kurenai,Sasuke,8
524,Moso,Naruto,8
525,Burn,Orochimaru,8
526,Hokage,Sarutobi,8
527,Inu,Uma,8
528,Ne,Uma,8
529,Choji,Iruka,8
530,Gaara,Rock,8
531,Konohamaru,Lee,8
532,Tori,Uma,8
533,Kikusuke,Naruto,8
534,Jin,Tori,8
535,Ne,Tatsu,8
536,Orochimaru,Shikamaru,8
537,Jin,saru,8
538,Hizashi,Hyuga,8
539,Kisame,Raiga,8
540,Iruka,Rasengan,8
541,Mai,Shino,8
542,Akatsuki,Orochimaru,8
543,Unkai,Yakumo,8
544,Hokuto,Mizura,8
545,Fang,Kiba,8
546,Toki,a,8
547,The,Toki,8
548,Buddha,Choji,8
549,Jonin,Yakumo,8
550,The,the,8
551,Kakashi,Neji,8
552,Ne,Saru,8
553,Kisame,Zabuza,8
554,Jin,tori,8
555,Tatsu,Tori,8
556,Sumaru,the,7
557,Raijin,Tsunade,7
558,Hiashi,Neji,7
559,Anko,Hokage,7
560,Jirocho,Wagarashi,7
561,Jirobo,Sakon,7
562,Sumaru,Tenten,7
563,The,Tsunade,7
564,Lee,Sumaru,7
565,Jirobo,Kidomaru,7
566,Haruna,Kikusuke,7
567,Shadow,Sumaru,7
568,Roger,Sasuke,7
569,Bushy,Kakashi,7
570,Ayame,Teuchi,7
571,Sharingan,Zabuza,7
572,Orochimaru,Raijin,7
573,Tori,Ushi,7
574,Kakashi,Sagi,7
575,Haku,Sakura,7
576,Sakura,The,7
577,Boss,Naruto,7
578,Iruka,Sakura,7
579,saru,uma,7
580,Sasuke,Temari,7
581,Burn,Jiraiya,7
582,Sakura,Tazuna,7
583,Oli,Tsunade,7
584,Hokage,Kurenai,7
585,tori,uma,7
586,Orochimaru,Yoroi,7
587,Akamaru,Yakumo,7
588,Karashi,Neji,7
589,Sakura,Zabuza,7
590,Asuma,Naruto,7
591,Genin,Hinata,7
592,Kikunojou,Kikusuke,7
593,Old,Yakumo,7
594,Manda,Tsunade,7
595,Fujin,Tsunade,7
596,Neji,Orochimaru,7
597,Kazekage,Yashamaru,7
598,Genno,Hinata,7
599,Naruto,Roger,7
600,Kurenai,Lee,7
601,Lee,Sansho,7
602,Naruto,Ya,7
603,Choji,Mizuki,7
604,Naruto,Proctor,7
605,Asuma,Shikamaru,7
606,Cursed,Moso,7
607,Nine-Tailed,Sasuke,7
608,Chunin,Hokage,7
609,uma,ushi,7
610,Grandpa,Konohamaru,7
611,Sensei,Shino,7
612,Ayame,Hakkaku,7
613,Idate,Sasuke,7
614,Sasuke,that,7
615,Raiga,Rokusuke,7
616,Shikamaru,Temari,7
617,Naruto,Temari,7
618,Naruto,Transform,7
619,Chishima,Hoki,7
620,Fujin,Orochimaru,7
621,Hinata,Ino,7
622,Moegi,Naruto,7
623,Gantetsu,Shinobi,6
624,Kikusuke,Shun,6
625,Hanzaki,the,6
626,Hanzaki,Pervy,6
627,Byakugan,Sumaru,6
628,Chishima,McCoy,6
629,Guy,–,6
630,Natsuboshi,Sumaru,6
631,Fifth,Lee,6
632,Akamaru,Shadow,6
633,Kurosuki,Rokusuke,6
634,Kurosuki,Raiga,6
635,Kakashi,Shinobi,6
636,Akio,Monju,6
637,Moso,Neji,6
638,Jin,ushi,6
639,Kurosuki,Lee,6
640,That,Tsunade,6
641,Akio,Bushy-Brows,6
642,Akio,Lee,6
643,Amachi,Isaribi,6
644,Gato,Zabuza,6
645,Tatsu,Ushi,6
646,Tatsu,Uma,6
647,Dosu,Sasuke,6
648,Byakugan,Sakura,6
649,Naruto,Rock,6
650,Hinata,Mizuki,6
651,Chunin,Gaara,6
652,Harmonia,Hinata,6
653,Hinata,Jutsu,6
654,Naruto,Ruiga,6
655,Sakura,Tenten,6
656,Orochimaru,Sensei,6
657,Hinata,Ruiga,6
658,Sakura,Shizune,6
